id,name,Result
Q3806459,James Barton Longacre,Already exists
✅ UPDATED in human_collection table,4512,constituent_id=16429
Q5109648,Christian Gobrecht,Already exists
✅ UPDATED in human_collection table,4708,constituent_id=107
Q4881787,Bela Lyon Pratt,Already exists
✅ UPDATED in human_collection table,2483,constituent_id=108
Q99264077,James Gillinder and Sons,Already exists
✅ UPDATED in human_collection table,2654,constituent_id=16459
Q17083157,New England Glass Company,Already exists
✅ UPDATED in human_collection table,3813,constituent_id=108
Q18356496,Union Glass Company,Already exists
✅ UPDATED in human_collection table,8749,constituent_id=16258
Q327071,Paul Revere Jr.,Already exists
✅ UPDATED in human_collection table,5726,constituent_id=16230
Q572735,Stanford White,Already exists
✅ UPDATED in human_collection table,2879,constituent_id=16272
Q112716914,Augustus Truesdell,Already exists
✅ UPDATED in human_collection table,4049,constituent_id=109
Q312950,Louis C. Tiffany,Already exists
✅ UPDATED in human_collection table,24157,constituent_id=16254
Q1370167,United Society of Believers in Christ’s Second Appearing (“Shakers”),Already exists
✅ UPDATED in human_collection table,5389,constituent_id=8737
Q155626,John Singer Sargent,Already exists
✅ UPDATED in human_collection table,2793,constituent_id=16237
Q1556712,Gustave Herter,Already exists
✅ UPDATED in human_collection table,3449,constituent_id=345
Q7786960,Thomas Affleck,Already exists
✅ UPDATED in human_collection table,5611,constituent_id=110
Q1614654,Herter Brothers,Already exists
✅ UPDATED in human_collection table,2577,constituent_id=110
Q55720552,George Jakob Hunzinger,Already exists
✅ UPDATED in human_collection table,3316,constituent_id=111
Q4285694,George Washington Maher,Already exists
✅ UPDATED in human_collection table,2579,constituent_id=111
Q1717331,Léon Marcotte,Already exists
✅ UPDATED in human_collection table,3608,constituent_id=111
Q370420,Samuel McIntire,Already exists
✅ UPDATED in human_collection table,5247,constituent_id=111
Q5074741,Charles-Honoré Lannuier,Already exists
✅ UPDATED in human_collection table,4812,constituent_id=133
Q3041258,Duncan Phyfe,Already exists
✅ UPDATED in human_collection table,4967,constituent_id=111
Q2106610,Pottier and Stymus Manufacturing Company,Already exists
✅ UPDATED in human_collection table,2743,constituent_id=16381
Q723234,Henry Hobson Richardson,Already exists
✅ UPDATED in human_collection table,3293,constituent_id=111
Q5604,Frank Lloyd Wright,Already exists
✅ UPDATED in human_collection table,24042,constituent_id=16276
Q55720851,John Jelliff,Already exists
✅ UPDATED in human_collection table,3964,constituent_id=112
Q97054971,Joseph Meeks & Sons,Already exists
✅ UPDATED in human_collection table,3463,constituent_id=16497
Q99632136,Tobey Furniture Company,Already exists
✅ UPDATED in human_collection table,2250,constituent_id=112
Q82160313,Thomas Danforth Boardman,Already exists
✅ UPDATED in human_collection table,4741,constituent_id=113
Q264764,Pierre Charles L'Enfant,Already exists
✅ UPDATED in human_collection table,5305,constituent_id=113
Q243240,Louis Henry Sullivan,Already exists
✅ UPDATED in human_collection table,24129,constituent_id=16249
Q4662538,Aaron Willard Jr.,Already exists
✅ UPDATED in human_collection table,4749,constituent_id=113
Q4948224,Boston & Sandwich Glass Company,Already exists
✅ UPDATED in human_collection table,3603,constituent_id=113
Q99453266,Samuel Danforth,Already exists
✅ UPDATED in human_collection table,4900,constituent_id=114
Q29441860,Myer Myers,Already exists
✅ UPDATED in human_collection table,5961,constituent_id=115
Q3218993,Laurent Amyot (Amiot),Already exists
✅ UPDATED in human_collection table,5088,constituent_id=115
Q66827450,Adrian Bancker,Already exists
✅ UPDATED in human_collection table,6212,constituent_id=113
Q26904976,Benjamin Burt,Already exists
✅ UPDATED in human_collection table,5835,constituent_id=16605
Q67157500,Cary Dunn,Already exists
✅ UPDATED in human_collection table,5129,constituent_id=116
Q67184234,Joseph Edwards Jr.,Already exists
✅ UPDATED in human_collection table,5677,constituent_id=116
Q112628549,Ashbil Griswold,Already exists
✅ UPDATED in human_collection table,4742,constituent_id=117
Q37640816,Isaac Hutton,Already exists
✅ UPDATED in human_collection table,5036,constituent_id=16605
Q98059556,"William Moulton, IV",Already exists
✅ UPDATED in human_collection table,4932,constituent_id=118
Q98667592,Moody Russell,Already exists
✅ UPDATED in human_collection table,6350,constituent_id=118
Q72823949,Benjamin Wynkoop,Already exists
✅ UPDATED in human_collection table,6539,constituent_id=119
Q4719984,Alexander Roux,Already exists
✅ UPDATED in human_collection table,3985,constituent_id=119
Q3164318,Jean-Baptiste Nini,Already exists
✅ UPDATED in human_collection table,6042,constituent_id=16427
Q3107836,Jean Jacques Caffiéri,Already exists
✅ UPDATED in human_collection table,5906,constituent_id=16332
Q21287381,Jean Martin Renaud,Already exists
✅ UPDATED in human_collection table,5497,constituent_id=16230
Q595544,Josiah Wedgwood and Sons,Already exists
✅ UPDATED in human_collection table,5205,constituent_id=16270
Q1397018,Patience Wright,Already exists
✅ UPDATED in human_collection table,5894,constituent_id=120
Q97093379,Hervey Brooks,Already exists
✅ UPDATED in human_collection table,4810,constituent_id=730
Q56033713,Adams and Company,Already exists
✅ UPDATED in human_collection table,8750,constituent_id=123
Q66896177,Jacob Boelen,Already exists
✅ UPDATED in human_collection table,6697,constituent_id=123
Q12280013,Ephraim Brasher,Already exists
✅ UPDATED in human_collection table,5534,constituent_id=16314
Q16997505,"Hobbs, Brockunier and Company",Already exists
✅ UPDATED in human_collection table,2625,constituent_id=124
Q67131647,Cornelius Kierstede,Already exists
✅ UPDATED in human_collection table,6545,constituent_id=124
Q4799203,Arthur J. Stone,Already exists
✅ UPDATED in human_collection table,3005,constituent_id=126
Q7184446,Philip Syng Jr.,Already exists
✅ UPDATED in human_collection table,6213,constituent_id=126
Q98065839,Whiting Manufacturing Company,Already exists
✅ UPDATED in human_collection table,2519,constituent_id=126
Q48386771,Gorham Manufacturing Company,Already exists
✅ UPDATED in human_collection table,3423,constituent_id=16194
Q18356506,Union Porcelain Works,Already exists
✅ UPDATED in human_collection table,2626,constituent_id=127
Q2408093,Charles Nicolas Cochin II,Already exists
✅ UPDATED in human_collection table,6076,constituent_id=16554
Q2286906,Joseph Siffred Duplessis,Already exists
✅ UPDATED in human_collection table,5905,constituent_id=16555
Q1066858,Tiffany & Co.,Already exists
✅ UPDATED in human_collection table,3284,constituent_id=16253
Q6763088,Marie Zimmermann,Already exists
✅ UPDATED in human_collection table,2110,constituent_id=16277
Q2580100,Jervis McEntee,Already exists
✅ UPDATED in human_collection table,3508,constituent_id=16431
Q98065799,Unger Brothers,Already exists
✅ UPDATED in human_collection table,2346,constituent_id=16258
Q56006667,John Townsend,Already exists
✅ UPDATED in human_collection table,5764,constituent_id=129
Q5218374,Daniel Pabst,Already exists
✅ UPDATED in human_collection table,3558,constituent_id=130
Q6144027,James Tassie,Already exists
✅ UPDATED in human_collection table,5700,constituent_id=16537
Q95456511,Joseph Lownes,Already exists
✅ UPDATED in human_collection table,5222,constituent_id=130
Q770625,Augustus Saint-Gaudens,Already exists
✅ UPDATED in human_collection table,2991,constituent_id=16236
Q431475,Evelyn Beatrice Longman,Already exists
✅ UPDATED in human_collection table,2257,constituent_id=16374
Q16948007,Christian Dorflinger,Already exists
✅ UPDATED in human_collection table,3513,constituent_id=127
Q18508318,Jacob Hurd,Already exists
✅ UPDATED in human_collection table,6235,constituent_id=16604
Q96397175,Robert R. Jarvie,Already exists
✅ UPDATED in human_collection table,2550,constituent_id=16370
Q1065941,Charles Rohlfs,Already exists
✅ UPDATED in human_collection table,2866,constituent_id=16233
Q56451893,Edward Winslow,Already exists
✅ UPDATED in human_collection table,6578,constituent_id=132
Q469269,Matthew Boulton,Already exists
✅ UPDATED in human_collection table,5844,constituent_id=16619
Q62607058,John Goddard,Already exists
✅ UPDATED in human_collection table,5931,constituent_id=136
Q97108595,Michael Allison,Already exists
✅ UPDATED in human_collection table,4918,constituent_id=133
Q62097287,Anthony G. Quervelle,Already exists
✅ UPDATED in human_collection table,4616,constituent_id=133
Q69299909,Samuel Edwards,Already exists
✅ UPDATED in human_collection table,6188,constituent_id=134
Q4849347,"Bakewell, Page & Bakewell",Already exists
✅ UPDATED in human_collection table,4128,constituent_id=135
Q96198477,John Burt,Already exists
✅ UPDATED in human_collection table,6383,constituent_id=135
Q6226850,John Coney,Already exists
✅ UPDATED in human_collection table,6719,constituent_id=135
Q67171835,Peter Van Dyck,Already exists
✅ UPDATED in human_collection table,6468,constituent_id=135
Q21465450,William Worthington,Already exists
✅ UPDATED in human_collection table,4891,constituent_id=932
Q108254453,Stephen Badlam,Already exists
✅ UPDATED in human_collection table,5364,constituent_id=135
Q549250,Carlo Bugatti,Already exists
✅ UPDATED in human_collection table,2828,constituent_id=16335
Q55218824,Samuel Gragg,Already exists
✅ UPDATED in human_collection table,24289,constituent_id=136
Q61764333,Thomas Seymour,Already exists
✅ UPDATED in human_collection table,4937,constituent_id=119
Q6481256,Lambert Hitchcock,Already exists
✅ UPDATED in human_collection table,4511,constituent_id=137
Q7962862,Wallace Nutting,Already exists
✅ UPDATED in human_collection table,24100,constituent_id=16511
Q786545,Thomas Sully,Already exists
✅ UPDATED in human_collection table,4748,constituent_id=16249
Q109249200,Israel Trask,Already exists
✅ UPDATED in human_collection table,4686,constituent_id=138
Q5621226,Gustav Stickley,Already exists
✅ UPDATED in human_collection table,24117,constituent_id=16247
Q516134,Koenigliche Porzellan Manufaktur,Already exists
✅ UPDATED in human_collection table,5125,constituent_id=3789
Q55218122,Frederick Marquand,Already exists
✅ UPDATED in human_collection table,4415,constituent_id=140
Q68498026,Joseph Richardson Sr.,Already exists
✅ UPDATED in human_collection table,6123,constituent_id=141
Q68449847,Joseph Richardson Jr.,Already exists
✅ UPDATED in human_collection table,5350,constituent_id=143
Q67044542,Tucker Factory,Already exists
✅ UPDATED in human_collection table,3553,constituent_id=143
Q72399788,Christian Wiltberger,Already exists
✅ UPDATED in human_collection table,5039,constituent_id=16605
Q15995922,Florence Koehler,Already exists
✅ UPDATED in human_collection table,2682,constituent_id=143
Q48977226,Bryce Brothers,Already exists
✅ UPDATED in human_collection table,8751,constituent_id=144
Q69055106,Nicholas Roosevelt,Already exists
✅ UPDATED in human_collection table,6073,constituent_id=144
Q55217980,Ebenezer Moulton,Already exists
✅ UPDATED in human_collection table,5004,constituent_id=145
Q98908500,Elias Pelletreau,Already exists
✅ UPDATED in human_collection table,5884,constituent_id=129
Q6780156,M. Louise McLaughlin,Already exists
✅ UPDATED in human_collection table,3002,constituent_id=16432
Q67472572,William W. Gilbert,Already exists
✅ UPDATED in human_collection table,5502,constituent_id=147
Q72701764,Hugh Wishart,Already exists
✅ UPDATED in human_collection table,4544,constituent_id=148
Q98108230,Daniel Van Voorhis,Already exists
✅ UPDATED in human_collection table,5377,constituent_id=145
Q64498669,Rose factory,Already exists
✅ UPDATED in human_collection table,6644,constituent_id=148
Q2072152,Chelsea Factory,Already exists
✅ UPDATED in human_collection table,5582,constituent_id=439
Q26945291,Samuel Casey,Already exists
