Result,name,Context
✅ FOUND in military_events table ,7562,"id=7562, qid='Q3558438', name='Swiss Campaign of Suvorov', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Route%20Alexander%20Suworow%201799%20Schweiz%2001%2012.png', description=""1799 alexander Suvorov's campaign in Switzerland"", start_time='1799-09-25T00:00:00Z', end_time='1799-09-25T00:00:00Z', point_in_time='1799-09-25T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Suvorov%27s_Swiss_campaign', lat=46.64731, lon=8.59052, depth_index='7364_19_83_5_52_2_2', depth_level=7, descendant_count=1"
✅ UPDATED in military_events table,7562,"start_time='1799-09-25T00:00:00Z', end_time='1799-09-25T00:00:00Z', point_in_time='1799-09-25T00:00:00Z'"
 fit_descendant_date updated.,7562,"start_time=1799-09-25T00:00:00Z, end_time=1799-09-25T00:00:00Z, point_in_time=1799-09-25T00:00:00Z"
✅ Updated coords and dates,7562,"name=Swiss Campaign of Suvorov, descendant_count=1"
✅ FOUND in military_events table ,12845,"id=12845, qid='Q1756029', name='Operation Tonga', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Four%20%27stick%27%20commanders%20of%2022nd%20Independent%20Parachute%20Company%2C%206th%20Airborne%20Division%2C%20synchronising%20their%20watches%20in%20front%20of%20an%20Armstrong%20Whitworth%20Albemarle%20at%20about%2011%20pm%20on%205%20June%201944%2C%20just%20prior%20to%20take%20o%20H39070.jpg', description='1944 airborne operation during World War II', start_time='1944-06-06T00:00:00Z', end_time='1944-06-06T00:00:00Z', point_in_time='1944-06-06T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Operation_Tonga', lat=49.27, lon=-0.19638889, depth_index='12379_272_2_18_5_2_5', depth_level=7, descendant_count=1"
✅ UPDATED in military_events table,12845,"start_time='1944-06-06T00:00:00Z', end_time='1944-06-06T00:00:00Z', point_in_time='1944-06-06T00:00:00Z'"
 fit_descendant_date updated.,12845,"start_time=1944-06-06T00:00:00Z, end_time=1944-06-06T00:00:00Z, point_in_time=1944-06-06T00:00:00Z"
✅ Updated coords and dates,12845,"name=Operation Tonga, descendant_count=1"
✅ FOUND in military_events table ,12848,"id=12848, qid='Q29009', name='American airborne landings in Normandy', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Allied%20Invasion%20Force.jpg', description='1944 United States combat operations during Operation Overlord', start_time='1944-06-06T00:00:00Z', end_time='1944-06-15T00:00:00Z', point_in_time='1944-01-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/American_airborne_landings_in_Normandy', lat=49.2856944465, lon=-0.7880555549999999, depth_index='12379_272_2_18_5_2_7', depth_level=7, descendant_count=3"
✅ UPDATED in military_events table,12848,"start_time='1944-06-06T00:00:00Z', end_time='1944-06-15T00:00:00Z', point_in_time='1944-01-01T00:00:00Z'"
 fit_descendant_date updated.,12848,"start_time=1944-06-06T00:00:00Z, end_time=1944-06-15T00:00:00Z, point_in_time=1944-01-01T00:00:00Z"
✅ Updated coords and dates,12848,"name=American airborne landings in Normandy, descendant_count=3"
✅ FOUND in military_events table ,12852,"id=12852, qid='Q7096924', name='Operation Cooney', image_url=None, description='WW2 SAS operation during the Normandy invasion', start_time='1944-06-05T00:00:00Z', end_time='1944-06-18T00:00:00Z', point_in_time='1944-06-05T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Operation_Cooney', lat=48.0, lon=-3.0, depth_index='12379_272_2_18_5_2_8', depth_level=7, descendant_count=1"
✅ UPDATED in military_events table,12852,"start_time='1944-06-05T00:00:00Z', end_time='1944-06-18T00:00:00Z', point_in_time='1944-06-05T00:00:00Z'"
 fit_descendant_date updated.,12852,"start_time=1944-06-05T00:00:00Z, end_time=1944-06-18T00:00:00Z, point_in_time=1944-06-05T00:00:00Z"
✅ Updated coords and dates,12852,"name=Operation Cooney, descendant_count=1"
✅ FOUND in military_events table ,7560,"id=7560, qid='Q122890272', name='Italian and Swiss expedition', image_url=None, description='1799 Austro–Russian expedition during the War of the Second Coalition', start_time='1799-04-24T00:00:00Z', end_time='1799-09-25T00:00:00Z', point_in_time='1799-04-24T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Italian_and_Swiss_expedition_of_1799', lat=46.171155, lon=9.13026, depth_index='7364_19_83_5_52_2', depth_level=6, descendant_count=3"
✅ UPDATED in military_events table,7560,"start_time='1799-04-24T00:00:00Z', end_time='1799-09-25T00:00:00Z', point_in_time='1799-04-24T00:00:00Z'"
 fit_descendant_date updated.,7560,"start_time=1799-04-24T00:00:00Z, end_time=1799-09-25T00:00:00Z, point_in_time=1799-04-24T00:00:00Z"
✅ Updated coords and dates,7560,"name=Italian and Swiss expedition, descendant_count=3"
✅ FOUND in military_events table ,7706,"id=7706, qid='Q61070630', name='Western front', image_url=None, description='war of the Pyrenees front', start_time='1793-06-06T00:00:00Z', end_time='1794-10-17T00:00:00Z', point_in_time='1793-06-06T00:00:00Z', wiki_url=None, lat=43.0606152775, lon=-1.369111111, depth_index='7364_19_83_5_60_25', depth_level=6, descendant_count=5"
✅ UPDATED in military_events table,7706,"start_time='1793-06-06T00:00:00Z', end_time='1794-10-17T00:00:00Z', point_in_time='1793-06-06T00:00:00Z'"
 fit_descendant_date updated.,7706,"start_time=1793-06-06T00:00:00Z, end_time=1794-10-17T00:00:00Z, point_in_time=1793-06-06T00:00:00Z"
✅ Updated coords and dates,7706,"name=Western front, descendant_count=5"
✅ FOUND in military_events table ,7822,"id=7822, qid='Q253684', name='French invasion of Egypt and Syria', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Baron%20Antoine-Jean%20Gros-Battle%20Pyramids%201810.jpg', description='1798–1801 campaign during the War of the Second Coalition', start_time='1798-07-02T00:00:00Z', end_time='1801-05-16T00:00:00Z', point_in_time='1798-07-02T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/French_invasion_of_Egypt_and_Syria', lat=28.5068055, lon=32.622895833, depth_index='7364_19_83_6_38_3', depth_level=6, descendant_count=21"
✅ UPDATED in military_events table,7822,"start_time='1798-07-02T00:00:00Z', end_time='1801-05-16T00:00:00Z', point_in_time='1798-07-02T00:00:00Z'"
 fit_descendant_date updated.,7822,"start_time=1798-07-02T00:00:00Z, end_time=1801-05-16T00:00:00Z, point_in_time=1798-07-02T00:00:00Z"
✅ Updated coords and dates,7822,"name=French invasion of Egypt and Syria, descendant_count=21"
✅ FOUND in military_events table ,12840,"id=12840, qid='Q16470', name='Normandy landings', image_url='http://commons.wikimedia.org/wiki/Special:FilePath/Into%20the%20Jaws%20of%20Death%2023-0455M%20edit.jpg', description='1944 landing operations of the Allied invasion of Normandy', start_time='1944-06-05T00:00:00Z', end_time='1944-06-18T00:00:00Z', point_in_time='1944-01-01T00:00:00Z', wiki_url='https://en.wikipedia.org/wiki/Normandy_landings', lat=48.69402778, lon=-1.598194445, depth_index='12379_272_2_18_5_2', depth_level=6, descendant_count=13"
✅ UPDATED in military_events table,12840,"start_time='1944-06-05T00:00:00Z', end_time='1944-06-18T00:00:00Z', point_in_time='1944-01-01T00:00:00Z'"
