Result,name,Context
✅ UPDATED in military_events table,12379,descendant_count=1519
✅ UPDATED in military_events table,13851,descendant_count=1064
✅ UPDATED in military_events table,7364,descendant_count=816
✅ UPDATED in military_events table,7384,descendant_count=715
✅ UPDATED in military_events table,11153,descendant_count=685
✅ UPDATED in military_events table,9845,descendant_count=548
✅ UPDATED in military_events table,7502,descendant_count=508
✅ UPDATED in military_events table,5025,descendant_count=507
✅ UPDATED in military_events table,16344,descendant_count=443
✅ UPDATED in military_events table,8378,descendant_count=352
✅ UPDATED in military_events table,2923,descendant_count=308
✅ UPDATED in military_events table,13327,descendant_count=291
✅ UPDATED in military_events table,16963,descendant_count=290
✅ UPDATED in military_events table,16473,descendant_count=286
✅ UPDATED in military_events table,3804,descendant_count=277
✅ UPDATED in military_events table,16070,descendant_count=270
✅ UPDATED in military_events table,16071,descendant_count=269
✅ UPDATED in military_events table,5083,descendant_count=268
✅ UPDATED in military_events table,14607,descendant_count=265
✅ UPDATED in military_events table,11299,descendant_count=255
✅ UPDATED in military_events table,7083,descendant_count=252
✅ UPDATED in military_events table,5781,descendant_count=249
✅ UPDATED in military_events table,7507,descendant_count=248
✅ UPDATED in military_events table,1042,descendant_count=238
✅ UPDATED in military_events table,1043,descendant_count=237
✅ UPDATED in military_events table,15807,descendant_count=230
✅ UPDATED in military_events table,2683,descendant_count=225
✅ UPDATED in military_events table,14647,descendant_count=216
✅ UPDATED in military_events table,8469,descendant_count=210
✅ UPDATED in military_events table,14198,descendant_count=210
✅ UPDATED in military_events table,15478,descendant_count=203
✅ UPDATED in military_events table,16135,descendant_count=203
✅ UPDATED in military_events table,3855,descendant_count=196
✅ UPDATED in military_events table,15823,descendant_count=183
✅ UPDATED in military_events table,11827,descendant_count=177
✅ UPDATED in military_events table,5357,descendant_count=172
✅ UPDATED in military_events table,13008,descendant_count=166
✅ UPDATED in military_events table,2925,descendant_count=165
✅ UPDATED in military_events table,6872,descendant_count=151
✅ UPDATED in military_events table,12794,descendant_count=147
✅ UPDATED in military_events table,9339,descendant_count=144
✅ UPDATED in military_events table,16742,descendant_count=144
✅ UPDATED in military_events table,8753,descendant_count=143
✅ UPDATED in military_events table,3404,descendant_count=141
✅ UPDATED in military_events table,10,descendant_count=135
✅ UPDATED in military_events table,11300,descendant_count=135
✅ UPDATED in military_events table,12796,descendant_count=135
✅ UPDATED in military_events table,8754,descendant_count=133
✅ UPDATED in military_events table,1907,descendant_count=130
✅ UPDATED in military_events table,11565,descendant_count=128
✅ UPDATED in military_events table,3090,descendant_count=127
✅ UPDATED in military_events table,4843,descendant_count=124
✅ UPDATED in military_events table,8200,descendant_count=124
✅ UPDATED in military_events table,12100,descendant_count=120
✅ UPDATED in military_events table,13333,descendant_count=120
✅ UPDATED in military_events table,7573,descendant_count=116
✅ UPDATED in military_events table,14047,descendant_count=115
✅ UPDATED in military_events table,7756,descendant_count=109
✅ UPDATED in military_events table,1592,descendant_count=101
✅ UPDATED in military_events table,6183,descendant_count=101
✅ UPDATED in military_events table,9341,descendant_count=101
✅ UPDATED in military_events table,13335,descendant_count=101
✅ UPDATED in military_events table,8964,descendant_count=100
✅ UPDATED in military_events table,13946,descendant_count=99
✅ UPDATED in military_events table,12279,descendant_count=98
✅ UPDATED in military_events table,13206,descendant_count=96
✅ UPDATED in military_events table,2269,descendant_count=2
✅ UPDATED in military_events table,23,descendant_count=89
✅ UPDATED in military_events table,4632,descendant_count=88
✅ UPDATED in military_events table,6764,descendant_count=87
✅ UPDATED in military_events table,9120,descendant_count=85
✅ UPDATED in military_events table,12648,descendant_count=81
✅ UPDATED in military_events table,6104,descendant_count=78
✅ UPDATED in military_events table,16352,descendant_count=78
✅ UPDATED in military_events table,15531,descendant_count=77
✅ UPDATED in military_events table,15396,descendant_count=76
✅ UPDATED in military_events table,16807,descendant_count=76
✅ UPDATED in military_events table,4225,descendant_count=75
✅ UPDATED in military_events table,8103,descendant_count=75
✅ UPDATED in military_events table,1619,descendant_count=67
✅ UPDATED in military_events table,3875,descendant_count=67
✅ UPDATED in military_events table,15879,descendant_count=67
✅ UPDATED in military_events table,30225,descendant_count=67
✅ UPDATED in military_events table,4127,descendant_count=65
✅ UPDATED in military_events table,10550,descendant_count=65
✅ UPDATED in military_events table,7945,descendant_count=64
✅ UPDATED in military_events table,12733,descendant_count=60
✅ UPDATED in military_events table,6630,descendant_count=59
✅ UPDATED in military_events table,6418,descendant_count=58
✅ UPDATED in military_events table,10441,descendant_count=58
✅ UPDATED in military_events table,13016,descendant_count=58
✅ UPDATED in military_events table,14912,descendant_count=58
✅ UPDATED in military_events table,1971,descendant_count=57
✅ UPDATED in military_events table,2850,descendant_count=57
✅ UPDATED in military_events table,3995,descendant_count=55
✅ UPDATED in military_events table,2770,descendant_count=54
✅ UPDATED in military_events table,11469,descendant_count=54
✅ UPDATED in military_events table,7892,descendant_count=52
✅ UPDATED in military_events table,9617,descendant_count=51
✅ UPDATED in military_events table,12833,descendant_count=51
✅ UPDATED in military_events table,15888,descendant_count=51
✅ UPDATED in military_events table,16743,descendant_count=51
✅ UPDATED in military_events table,228,descendant_count=50
✅ UPDATED in military_events table,2433,descendant_count=50
✅ UPDATED in military_events table,15250,descendant_count=50
✅ UPDATED in military_events table,30395,descendant_count=50
✅ UPDATED in military_events table,16430,descendant_count=49
✅ UPDATED in military_events table,15480,descendant_count=48
✅ UPDATED in military_events table,6331,descendant_count=47
✅ UPDATED in military_events table,13113,descendant_count=47
✅ UPDATED in military_events table,15163,descendant_count=47
✅ UPDATED in military_events table,30042,descendant_count=47
✅ UPDATED in military_events table,5036,descendant_count=46
✅ UPDATED in military_events table,8899,descendant_count=46
✅ UPDATED in military_events table,14865,descendant_count=46
✅ UPDATED in military_events table,14076,descendant_count=45
 update_descendant_counts skipped.,2369,No descendants found.
✅ UPDATED in military_events table,10918,descendant_count=44
✅ UPDATED in military_events table,11104,descendant_count=44
✅ UPDATED in military_events table,29566,descendant_count=44
✅ UPDATED in military_events table,11936,descendant_count=43
✅ UPDATED in military_events table,17203,descendant_count=43
✅ UPDATED in military_events table,5196,descendant_count=42
✅ UPDATED in military_events table,16364,descendant_count=42
✅ UPDATED in military_events table,16920,descendant_count=42
✅ UPDATED in military_events table,4728,descendant_count=41
✅ UPDATED in military_events table,886,descendant_count=40
✅ UPDATED in military_events table,5944,descendant_count=40
✅ UPDATED in military_events table,6240,descendant_count=40
✅ UPDATED in military_events table,11754,descendant_count=40
✅ UPDATED in military_events table,14122,descendant_count=40
✅ UPDATED in military_events table,15610,descendant_count=40
✅ UPDATED in military_events table,16746,descendant_count=40
✅ UPDATED in military_events table,740,descendant_count=39
✅ UPDATED in military_events table,6569,descendant_count=39
✅ UPDATED in military_events table,741,descendant_count=38
✅ UPDATED in military_events table,4924,descendant_count=38
✅ UPDATED in military_events table,10804,descendant_count=38
✅ UPDATED in military_events table,1818,descendant_count=37
✅ UPDATED in military_events table,5274,descendant_count=37
✅ UPDATED in military_events table,8908,descendant_count=37
✅ UPDATED in military_events table,14933,descendant_count=37
✅ UPDATED in military_events table,1934,descendant_count=36
✅ UPDATED in military_events table,5890,descendant_count=36
✅ UPDATED in military_events table,6380,descendant_count=36
✅ UPDATED in military_events table,451,descendant_count=35
✅ UPDATED in military_events table,7466,descendant_count=35
✅ UPDATED in military_events table,9533,descendant_count=35
✅ UPDATED in military_events table,11435,descendant_count=35
✅ UPDATED in military_events table,16095,descendant_count=35
✅ UPDATED in military_events table,452,descendant_count=34
✅ UPDATED in military_events table,4642,descendant_count=34
✅ UPDATED in military_events table,6129,descendant_count=34
✅ UPDATED in military_events table,6573,descendant_count=34
✅ UPDATED in military_events table,9448,descendant_count=34
✅ UPDATED in military_events table,16235,descendant_count=34
✅ UPDATED in military_events table,304,descendant_count=33
✅ UPDATED in military_events table,3317,descendant_count=33
✅ UPDATED in military_events table,6206,descendant_count=33
✅ UPDATED in military_events table,8328,descendant_count=33
✅ UPDATED in military_events table,9692,descendant_count=33
✅ UPDATED in military_events table,12043,descendant_count=33
✅ UPDATED in military_events table,113,descendant_count=32
✅ UPDATED in military_events table,1370,descendant_count=32
✅ UPDATED in military_events table,3616,descendant_count=32
✅ UPDATED in military_events table,8329,descendant_count=32
✅ UPDATED in military_events table,10502,descendant_count=32
✅ UPDATED in military_events table,15774,descendant_count=32
✅ UPDATED in military_events table,7968,descendant_count=31
✅ UPDATED in military_events table,11106,descendant_count=31
✅ UPDATED in military_events table,13069,descendant_count=31
✅ UPDATED in military_events table,13459,descendant_count=31
✅ UPDATED in military_events table,15436,descendant_count=31
✅ UPDATED in military_events table,29608,descendant_count=31
✅ UPDATED in military_events table,2624,descendant_count=30
✅ UPDATED in military_events table,4260,descendant_count=30
✅ UPDATED in military_events table,17163,descendant_count=30
✅ UPDATED in military_events table,1877,descendant_count=29
✅ UPDATED in military_events table,10885,descendant_count=29
✅ UPDATED in military_events table,14804,descendant_count=29
✅ UPDATED in military_events table,15360,descendant_count=29
✅ UPDATED in military_events table,16010,descendant_count=29
✅ UPDATED in military_events table,3963,descendant_count=28
✅ UPDATED in military_events table,7690,descendant_count=28
✅ UPDATED in military_events table,30202,descendant_count=28
✅ UPDATED in military_events table,2088,descendant_count=27
✅ UPDATED in military_events table,3470,descendant_count=27
✅ UPDATED in military_events table,8694,descendant_count=27
✅ UPDATED in military_events table,11524,descendant_count=27
✅ UPDATED in military_events table,14613,descendant_count=27
✅ UPDATED in military_events table,15216,descendant_count=27
✅ UPDATED in military_events table,15654,descendant_count=27
✅ UPDATED in military_events table,310,descendant_count=26
✅ UPDATED in military_events table,1416,descendant_count=26
✅ UPDATED in military_events table,6298,descendant_count=26
✅ UPDATED in military_events table,6510,descendant_count=26
✅ UPDATED in military_events table,7819,descendant_count=26
✅ UPDATED in military_events table,7865,descendant_count=26
✅ UPDATED in military_events table,10659,descendant_count=26
✅ UPDATED in military_events table,12838,descendant_count=26
✅ UPDATED in military_events table,13463,descendant_count=26
✅ UPDATED in military_events table,16715,descendant_count=26
✅ UPDATED in military_events table,1088,descendant_count=25
✅ UPDATED in military_events table,1908,descendant_count=25
✅ UPDATED in military_events table,3427,descendant_count=25
✅ UPDATED in military_events table,4056,descendant_count=25
✅ UPDATED in military_events table,6299,descendant_count=25
✅ UPDATED in military_events table,7793,descendant_count=25
✅ UPDATED in military_events table,2038,descendant_count=24
✅ UPDATED in military_events table,5899,descendant_count=24
✅ UPDATED in military_events table,8775,descendant_count=24
✅ UPDATED in military_events table,8813,descendant_count=24
✅ UPDATED in military_events table,1547,descendant_count=23
✅ UPDATED in military_events table,1724,descendant_count=23
✅ UPDATED in military_events table,2090,descendant_count=23
✅ UPDATED in military_events table,4454,descendant_count=23
✅ UPDATED in military_events table,9262,descendant_count=23
✅ UPDATED in military_events table,11357,descendant_count=23
✅ UPDATED in military_events table,11586,descendant_count=23
✅ UPDATED in military_events table,12926,descendant_count=23
✅ UPDATED in military_events table,13916,descendant_count=23
✅ UPDATED in military_events table,15967,descendant_count=23
✅ UPDATED in military_events table,17132,descendant_count=23
✅ UPDATED in military_events table,29613,descendant_count=23
✅ UPDATED in military_events table,958,descendant_count=22
✅ UPDATED in military_events table,1833,descendant_count=22
✅ UPDATED in military_events table,3299,descendant_count=7
✅ UPDATED in military_events table,3560,descendant_count=22
✅ UPDATED in military_events table,4017,descendant_count=22
✅ UPDATED in military_events table,4974,descendant_count=22
✅ UPDATED in military_events table,5756,descendant_count=22
✅ UPDATED in military_events table,6585,descendant_count=22
✅ UPDATED in military_events table,7044,descendant_count=22
✅ UPDATED in military_events table,7822,descendant_count=22
✅ UPDATED in military_events table,11033,descendant_count=22
✅ UPDATED in military_events table,13018,descendant_count=22
✅ UPDATED in military_events table,29890,descendant_count=22
✅ UPDATED in military_events table,8434,descendant_count=21
✅ UPDATED in military_events table,9306,descendant_count=21
✅ UPDATED in military_events table,10974,descendant_count=21
✅ UPDATED in military_events table,11605,descendant_count=21
✅ UPDATED in military_events table,12975,descendant_count=20
✅ UPDATED in military_events table,14167,descendant_count=21
✅ UPDATED in military_events table,15628,descendant_count=21
✅ UPDATED in military_events table,30124,descendant_count=21
✅ UPDATED in military_events table,283,descendant_count=20
✅ UPDATED in military_events table,854,descendant_count=20
✅ UPDATED in military_events table,3432,descendant_count=20
✅ UPDATED in military_events table,5842,descendant_count=20
✅ UPDATED in military_events table,10705,descendant_count=20
✅ UPDATED in military_events table,10858,descendant_count=20
✅ UPDATED in military_events table,11450,descendant_count=20
✅ UPDATED in military_events table,12840,descendant_count=20
✅ UPDATED in military_events table,13553,descendant_count=20
✅ UPDATED in military_events table,15856,descendant_count=20
✅ UPDATED in military_events table,16402,descendant_count=20
✅ UPDATED in military_events table,3151,descendant_count=19
✅ UPDATED in military_events table,3384,descendant_count=19
✅ UPDATED in military_events table,3584,descendant_count=19
✅ UPDATED in military_events table,4501,descendant_count=19
✅ UPDATED in military_events table,4798,descendant_count=19
✅ UPDATED in military_events table,5610,descendant_count=19
✅ UPDATED in military_events table,9534,descendant_count=19
✅ UPDATED in military_events table,13888,descendant_count=19
✅ UPDATED in military_events table,14458,descendant_count=19
✅ UPDATED in military_events table,30118,descendant_count=19
✅ UPDATED in military_events table,1509,descendant_count=18
✅ UPDATED in military_events table,2010,descendant_count=18
✅ UPDATED in military_events table,4106,descendant_count=18
✅ UPDATED in military_events table,4748,descendant_count=18
✅ UPDATED in military_events table,4849,descendant_count=18
✅ UPDATED in military_events table,4997,descendant_count=18
✅ UPDATED in military_events table,11057,descendant_count=18
✅ UPDATED in military_events table,12807,descendant_count=18
✅ UPDATED in military_events table,13052,descendant_count=18
✅ UPDATED in military_events table,13178,descendant_count=18
✅ UPDATED in military_events table,30530,descendant_count=18
✅ UPDATED in military_events table,856,descendant_count=17
✅ UPDATED in military_events table,1373,descendant_count=17
✅ UPDATED in military_events table,1593,descendant_count=17
✅ UPDATED in military_events table,2067,descendant_count=17
✅ UPDATED in military_events table,3359,descendant_count=17
✅ UPDATED in military_events table,5639,descendant_count=17
✅ UPDATED in military_events table,6072,descendant_count=17
✅ UPDATED in military_events table,6739,descendant_count=17
✅ UPDATED in military_events table,9671,descendant_count=17
✅ UPDATED in military_events table,11077,descendant_count=17
✅ UPDATED in military_events table,12024,descendant_count=17
✅ UPDATED in military_events table,14530,descendant_count=17
✅ UPDATED in military_events table,14550,descendant_count=17
✅ UPDATED in military_events table,16170,descendant_count=17
✅ UPDATED in military_events table,30541,descendant_count=17
✅ UPDATED in military_events table,910,descendant_count=16
✅ UPDATED in military_events table,1204,descendant_count=16
✅ UPDATED in military_events table,1984,descendant_count=16
✅ UPDATED in military_events table,3018,descendant_count=16
✅ UPDATED in military_events table,4320,descendant_count=16
✅ UPDATED in military_events table,4677,descendant_count=16
✅ UPDATED in military_events table,4906,descendant_count=16
✅ UPDATED in military_events table,6048,descendant_count=16
✅ UPDATED in military_events table,6344,descendant_count=16
✅ UPDATED in military_events table,6795,descendant_count=16
✅ UPDATED in military_events table,8871,descendant_count=16
✅ UPDATED in military_events table,9793,descendant_count=16
✅ UPDATED in military_events table,11646,descendant_count=16
✅ UPDATED in military_events table,16171,descendant_count=16
✅ UPDATED in military_events table,16569,descendant_count=16
✅ UPDATED in military_events table,16724,descendant_count=16
✅ UPDATED in military_events table,30351,descendant_count=16
✅ UPDATED in military_events table,30482,descendant_count=16
✅ UPDATED in military_events table,30551,descendant_count=16
✅ UPDATED in military_events table,146,descendant_count=15
✅ UPDATED in military_events table,1320,descendant_count=15
✅ UPDATED in military_events table,2307,descendant_count=15
✅ UPDATED in military_events table,2989,descendant_count=15
✅ UPDATED in military_events table,3274,descendant_count=15
✅ UPDATED in military_events table,4164,descendant_count=15
✅ UPDATED in military_events table,4366,descendant_count=15
✅ UPDATED in military_events table,5734,descendant_count=15
✅ UPDATED in military_events table,6610,descendant_count=15
✅ UPDATED in military_events table,10688,descendant_count=15
✅ UPDATED in military_events table,10733,descendant_count=5
✅ UPDATED in military_events table,11389,descendant_count=15
✅ UPDATED in military_events table,11505,descendant_count=15
✅ UPDATED in military_events table,12051,descendant_count=15
✅ UPDATED in military_events table,12957,descendant_count=15
✅ UPDATED in military_events table,14846,descendant_count=15
✅ UPDATED in military_events table,15082,descendant_count=15
✅ UPDATED in military_events table,15098,descendant_count=15
✅ UPDATED in military_events table,15317,descendant_count=15
✅ UPDATED in military_events table,15336,descendant_count=15
✅ UPDATED in military_events table,15722,descendant_count=15
✅ UPDATED in military_events table,28995,descendant_count=15
✅ UPDATED in military_events table,30064,descendant_count=15
✅ UPDATED in military_events table,30444,descendant_count=15
✅ UPDATED in military_events table,3669,descendant_count=14
✅ UPDATED in military_events table,4752,descendant_count=14
✅ UPDATED in military_events table,4879,descendant_count=14
✅ UPDATED in military_events table,4975,descendant_count=14
✅ UPDATED in military_events table,6446,descendant_count=14
✅ UPDATED in military_events table,6611,descendant_count=14
✅ UPDATED in military_events table,8078,descendant_count=14
✅ UPDATED in military_events table,8731,descendant_count=14
✅ UPDATED in military_events table,9085,descendant_count=14
✅ UPDATED in military_events table,9554,descendant_count=14
✅ UPDATED in military_events table,9752,descendant_count=14
✅ UPDATED in military_events table,11003,descendant_count=14
✅ UPDATED in military_events table,11272,descendant_count=14
✅ UPDATED in military_events table,11625,descendant_count=14
✅ UPDATED in military_events table,14715,descendant_count=14
✅ UPDATED in military_events table,14889,descendant_count=14
✅ UPDATED in military_events table,16199,descendant_count=14
✅ UPDATED in military_events table,16248,descendant_count=14
✅ UPDATED in military_events table,29602,descendant_count=14
✅ UPDATED in military_events table,312,descendant_count=13
✅ UPDATED in military_events table,2661,descendant_count=13
✅ UPDATED in military_events table,2709,descendant_count=13
✅ UPDATED in military_events table,2730,descendant_count=13
✅ UPDATED in military_events table,3414,descendant_count=13
✅ UPDATED in military_events table,4618,descendant_count=13
✅ UPDATED in military_events table,8362,descendant_count=13
✅ UPDATED in military_events table,9233,descendant_count=4
✅ UPDATED in military_events table,9726,descendant_count=13
✅ UPDATED in military_events table,11531,descendant_count=13
✅ UPDATED in military_events table,14554,descendant_count=13
✅ UPDATED in military_events table,14991,descendant_count=13
✅ UPDATED in military_events table,15114,descendant_count=13
✅ UPDATED in military_events table,15422,descendant_count=13
✅ UPDATED in military_events table,16051,descendant_count=13
✅ UPDATED in military_events table,17257,descendant_count=13
✅ UPDATED in military_events table,28905,descendant_count=13
✅ UPDATED in military_events table,29487,descendant_count=13
✅ UPDATED in military_events table,30333,descendant_count=13
✅ UPDATED in military_events table,509,descendant_count=12
✅ UPDATED in military_events table,887,descendant_count=12
✅ UPDATED in military_events table,981,descendant_count=12
✅ UPDATED in military_events table,1071,descendant_count=12
✅ UPDATED in military_events table,2152,descendant_count=12
✅ UPDATED in military_events table,3218,descendant_count=12
✅ UPDATED in military_events table,3754,descendant_count=12
✅ UPDATED in military_events table,4599,descendant_count=12
✅ UPDATED in military_events table,5535,descendant_count=12
✅ UPDATED in military_events table,5877,descendant_count=12
✅ UPDATED in military_events table,6659,descendant_count=12
✅ UPDATED in military_events table,6823,descendant_count=12
✅ UPDATED in military_events table,8847,descendant_count=12
✅ UPDATED in military_events table,9071,descendant_count=12
✅ UPDATED in military_events table,9100,descendant_count=12
✅ UPDATED in military_events table,9590,descendant_count=12
✅ UPDATED in military_events table,9819,descendant_count=12
✅ UPDATED in military_events table,11436,descendant_count=12
✅ UPDATED in military_events table,11709,descendant_count=12
✅ UPDATED in military_events table,11886,descendant_count=12
✅ UPDATED in military_events table,13891,descendant_count=12
✅ UPDATED in military_events table,15038,descendant_count=12
✅ UPDATED in military_events table,15052,descendant_count=12
✅ UPDATED in military_events table,15699,descendant_count=12
✅ UPDATED in military_events table,16294,descendant_count=12
✅ UPDATED in military_events table,29252,descendant_count=12
✅ UPDATED in military_events table,29291,descendant_count=12
✅ UPDATED in military_events table,29381,descendant_count=12
✅ UPDATED in military_events table,724,descendant_count=11
✅ UPDATED in military_events table,1124,descendant_count=11
✅ UPDATED in military_events table,1233,descendant_count=11
✅ UPDATED in military_events table,1460,descendant_count=11
✅ UPDATED in military_events table,1819,descendant_count=11
✅ UPDATED in military_events table,2206,descendant_count=11
 update_descendant_counts skipped.,2494,No descendants found.
✅ UPDATED in military_events table,3657,descendant_count=11
✅ UPDATED in military_events table,4707,descendant_count=11
✅ UPDATED in military_events table,4894,descendant_count=11
✅ UPDATED in military_events table,5447,descendant_count=11
✅ UPDATED in military_events table,5500,descendant_count=11
✅ UPDATED in military_events table,5586,descendant_count=11
✅ UPDATED in military_events table,5817,descendant_count=11
✅ UPDATED in military_events table,5970,descendant_count=11
✅ UPDATED in military_events table,6705,descendant_count=11
✅ UPDATED in military_events table,8188,descendant_count=11
✅ UPDATED in military_events table,11634,descendant_count=11
✅ UPDATED in military_events table,11834,descendant_count=11
✅ UPDATED in military_events table,11916,descendant_count=11
✅ UPDATED in military_events table,12236,descendant_count=11
✅ UPDATED in military_events table,12267,descendant_count=11
✅ UPDATED in military_events table,12875,descendant_count=11
✅ UPDATED in military_events table,13428,descendant_count=11
✅ UPDATED in military_events table,14483,descendant_count=11
✅ UPDATED in military_events table,16011,descendant_count=11
✅ UPDATED in military_events table,28906,descendant_count=11
✅ UPDATED in military_events table,29108,descendant_count=11
 update_descendant_counts skipped.,30393,No descendants found.
✅ UPDATED in military_events table,30410,descendant_count=11
✅ UPDATED in military_events table,30414,descendant_count=11
✅ UPDATED in military_events table,162,descendant_count=10
✅ UPDATED in military_events table,339,descendant_count=10
✅ UPDATED in military_events table,1493,descendant_count=10
✅ UPDATED in military_events table,1856,descendant_count=10
✅ UPDATED in military_events table,2190,descendant_count=10
✅ UPDATED in military_events table,2404,descendant_count=3
✅ UPDATED in military_events table,3498,descendant_count=10
✅ UPDATED in military_events table,4696,descendant_count=10
✅ UPDATED in military_events table,5715,descendant_count=10
✅ UPDATED in military_events table,6333,descendant_count=10
✅ UPDATED in military_events table,6368,descendant_count=10
✅ UPDATED in military_events table,7301,descendant_count=10
✅ UPDATED in military_events table,7927,descendant_count=10
✅ UPDATED in military_events table,8040,descendant_count=10
✅ UPDATED in military_events table,8800,descendant_count=10
✅ UPDATED in military_events table,10398,descendant_count=10
✅ UPDATED in military_events table,10412,descendant_count=10
✅ UPDATED in military_events table,10487,descendant_count=10
✅ UPDATED in military_events table,10861,descendant_count=10
✅ UPDATED in military_events table,11261,descendant_count=10
✅ UPDATED in military_events table,11305,descendant_count=10
✅ UPDATED in military_events table,11327,descendant_count=10
✅ UPDATED in military_events table,11418,descendant_count=10
✅ UPDATED in military_events table,12742,descendant_count=10
✅ UPDATED in military_events table,13100,descendant_count=10
✅ UPDATED in military_events table,14100,descendant_count=10
✅ UPDATED in military_events table,14437,descendant_count=10
✅ UPDATED in military_events table,14514,descendant_count=10
✅ UPDATED in military_events table,14777,descendant_count=10
✅ UPDATED in military_events table,29279,descendant_count=10
✅ UPDATED in military_events table,29427,descendant_count=10
✅ UPDATED in military_events table,29655,descendant_count=10
✅ UPDATED in military_events table,29660,descendant_count=10
✅ UPDATED in military_events table,30040,descendant_count=10
✅ UPDATED in military_events table,30196,descendant_count=10
✅ UPDATED in military_events table,30686,descendant_count=10
✅ UPDATED in military_events table,327,descendant_count=9
✅ UPDATED in military_events table,340,descendant_count=9
✅ UPDATED in military_events table,428,descendant_count=9
✅ UPDATED in military_events table,1326,descendant_count=9
✅ UPDATED in military_events table,1732,descendant_count=9
✅ UPDATED in military_events table,2545,descendant_count=9
✅ UPDATED in military_events table,2749,descendant_count=9
✅ UPDATED in military_events table,3944,descendant_count=9
✅ UPDATED in military_events table,4291,descendant_count=9
✅ UPDATED in military_events table,4346,descendant_count=9
✅ UPDATED in military_events table,4390,descendant_count=9
✅ UPDATED in military_events table,4584,descendant_count=9
✅ UPDATED in military_events table,4830,descendant_count=9
✅ UPDATED in military_events table,4869,descendant_count=9
✅ UPDATED in military_events table,4940,descendant_count=9
✅ UPDATED in military_events table,5559,descendant_count=9
✅ UPDATED in military_events table,5658,descendant_count=9
✅ UPDATED in military_events table,5928,descendant_count=9
